name,0,1,2,3,4,5
adhya1.p1,3,3,3.25,0.75,0,0
adhya1.p2,4,2.5,3.5,1.5,0,0
adhya1.p3,1.5,5.5,3.9,0.8,0,0
adhya1.p4,3,4,4,1.8,0,0
adhya2.p1,3,3,3.25,0.75,6,5
adhya2.p2,4,2.5,3.5,1.5,7,6
adhya2.p3,1.5,5.5,3.9,0.8,7,6
adhya2.p4,3,4,4,1.8,8,6
adhya3.p1,3,3,3.25,0.75,6,5
adhya3.p2,4,2.5,3.5,1.5,7,6
adhya3.p3,1.5,5.5,3.9,0.8,7,6
adhya3.p4,3,4,4,1.8,8,6
adhya4.p1,1.2,1.7,1.4,1.7,0,0
adhya4.p2,1.4,1.3,1.8,1.4,0,0
adhya4.p3,1.3,1.3,1.9,1.9,0,0
adhya4.p4,1.2,1.1,1.7,1.6,0,0
adhya4.p5,1.6,1.9,2,2.5,0,0
rt2.p1,0.79,3,114,98.7,0,0
rt2.p2,0.79,0.9,114,98.7,0,0
rt2.p3,0.79,3,114,98.7,0,0
bental4.p1,2.5,0,0,0,0,0
bental4.p2,1.5,0,0,0,0,0
bental5.p1,2.5,2,0,0,0,0
bental5.p2,1.5,2.5,0,0,0,0
bental5.p3,2,2.6,0,0,0,0
bental5.p4,2,2,0,0,0,0
bental5.p5,2,2,0,0,0,0
haverly1.p1,2.5,0,0,0,0,0
haverly1.p2,1.5,0,0,0,0,0
haverly2.p1,2.5,0,0,0,0,0
haverly2.p2,1.5,0,0,0,0,0
haverly3.p1,2.5,0,0,0,0,0
haverly3.p2,1.5,0,0,0,0,0
foulds2.p1,2.5,0,0,0,0,0
foulds2.p2,1.5,0,0,0,0,0
foulds2.p3,3,0,0,0,0,0
foulds2.p4,2,0,0,0,0,0
foulds3.p1,1.05,0,0,0,0,0
foulds3.p2,1.1,0,0,0,0,0
foulds3.p3,1.15,0,0,0,0,0
foulds3.p4,1.2,0,0,0,0,0
foulds3.p5,1.25,0,0,0,0,0
foulds3.p6,1.3,0,0,0,0,0
foulds3.p7,1.35,0,0,0,0,0
foulds3.p8,1.4,0,0,0,0,0
foulds3.p9,1.45,0,0,0,0,0
foulds3.p10,1.5,0,0,0,0,0
foulds3.p11,1.55,0,0,0,0,0
foulds3.p12,1.6,0,0,0,0,0
foulds3.p13,1.65,0,0,0,0,0
foulds3.p14,1.7,0,0,0,0,0
foulds3.p15,1.75,0,0,0,0,0
foulds3.p16,1.8,0,0,0,0,0
foulds4.p1,1.05,0,0,0,0,0
foulds4.p2,1.1,0,0,0,0,0
foulds4.p3,1.15,0,0,0,0,0
foulds4.p4,1.2,0,0,0,0,0
foulds4.p5,1.25,0,0,0,0,0
foulds4.p6,1.3,0,0,0,0,0
foulds4.p7,1.35,0,0,0,0,0
foulds4.p8,1.4,0,0,0,0,0
foulds4.p9,1.45,0,0,0,0,0
foulds4.p10,1.5,0,0,0,0,0
foulds4.p11,1.55,0,0,0,0,0
foulds4.p12,1.6,0,0,0,0,0
foulds4.p13,1.65,0,0,0,0,0
foulds4.p14,1.7,0,0,0,0,0
foulds4.p15,1.75,0,0,0,0,0
foulds4.p16,1.8,0,0,0,0,0
foulds5.p1,1.05,0,0,0,0,0
foulds5.p2,1.1,0,0,0,0,0
foulds5.p3,1.15,0,0,0,0,0
foulds5.p4,1.2,0,0,0,0,0
foulds5.p5,1.25,0,0,0,0,0
foulds5.p6,1.3,0,0,0,0,0
foulds5.p7,1.35,0,0,0,0,0
foulds5.p8,1.4,0,0,0,0,0
foulds5.p9,1.45,0,0,0,0,0
foulds5.p10,1.5,0,0,0,0,0
foulds5.p11,1.55,0,0,0,0,0
foulds5.p12,1.6,0,0,0,0,0
foulds5.p13,1.65,0,0,0,0,0
foulds5.p14,1.7,0,0,0,0,0
foulds5.p15,1.75,0,0,0,0,0
foulds5.p16,1.8,0,0,0,0,0
